BURNUP,TF,TM,BOR,GROUP,ABSORPTION,CAPTURE,FISSION,NU-FISSION,TRANSPORT,OUT-SCATTER,DIFF(1/3TR),ASSEMBLY
0,1019.3,557,0,1,0.00134985,0.00134985,0,0,0.23611,0.0191123,1.41177,BOT
0,1019.3,557,0,2,0.0292113,0.0292113,0,0,1.12007,0.00222105,0.2976,BOT
0,1019.3,557,200,1,0.00140042,0.00140042,0,0,0.236116,0.0190707,1.41174,BOT
0,1019.3,557,200,2,0.0314449,0.0314449,0,0,1.11991,0.00225466,0.297643,BOT
0,1019.3,557,400,1,0.00145082,0.00145082,0,0,0.236121,0.0190292,1.41171,BOT
0,1019.3,557,400,2,0.0336627,0.0336627,0,0,1.11977,0.00228796,0.297681,BOT
0,1019.3,557,600,1,0.00150106,0.00150106,0,0,0.236126,0.0189879,1.41167,BOT
0,1019.3,557,600,2,0.0358721,0.0358721,0,0,1.11966,0.00232103,0.29771,BOT
0,1019.3,557,800,1,0.00155115,0.00155115,0,0,0.236131,0.0189468,1.41165,BOT
0,1019.3,557,800,2,0.0380694,0.0380694,0,0,1.11957,0.00235384,0.297732,BOT
0,1019.3,557,1000,1,0.00160107,0.00160107,0,0,0.236136,0.0189058,1.41162,BOT
0,1019.3,557,1000,2,0.0402549,0.0402549,0,0,1.11951,0.00238638,0.297748,BOT
0,1019.3,557,1200,1,0.00165084,0.00165084,0,0,0.23614,0.018865,1.41159,BOT
0,1019.3,557,1200,2,0.0424285,0.0424285,0,0,1.11948,0.00241867,0.297758,BOT
0,1019.3,557,1400,1,0.00170046,0.00170046,0,0,0.236144,0.0188243,1.41157,BOT
0,1019.3,557,1400,2,0.0445905,0.0445905,0,0,1.11946,0.0024507,0.297763,BOT
0,1019.3,557,1800,1,0.00179923,0.00179923,0,0,0.236152,0.0187435,1.41152,BOT
0,1019.3,557,1800,2,0.0488802,0.0488802,0,0,1.11949,0.002514,0.297755,BOT
